Team,Week,Team Points,League Average,Difference,Above/Below
Scott,2,391.7,290.075,101.625,Above
Scott,3,305.7,290.25,15.449999999999989,Above
Scott,4,341.5,321.325,20.17500000000001,Above
Scott,5,225.6,279.77500000000003,-54.17500000000004,Below
Scott,6,305.2,282.5833333333333,22.616666666666674,Above
Scott,7,340.0,264.71666666666664,75.28333333333336,Above
Scott,8,436.7,348.5333333333333,88.16666666666669,Above
Scott,9,339.4,290.44166666666666,48.958333333333314,Above
Scott,10,417.2,268.51666666666665,148.68333333333334,Above
Trevor,1,259.4,250.51666666666665,8.883333333333326,Above
Trevor,2,420.9,290.075,130.825,Above
Trevor,3,267.6,290.25,-22.649999999999977,Below
Trevor,4,373.5,321.325,52.17500000000001,Above
Trevor,5,354.8,279.77500000000003,75.02499999999998,Above
Trevor,6,331.2,282.5833333333333,48.616666666666674,Above
Trevor,7,331.6,264.71666666666664,66.88333333333338,Above
Trevor,8,282.3,348.5333333333333,-66.23333333333329,Below
Trevor,9,241.5,290.44166666666666,-48.94166666666666,Below
Trevor,10,302.1,268.51666666666665,33.58333333333337,Above
