"ID","OR","Last Name","First Name","Team","Status","Status Details","Eligible Positions","Avg. Pick","Avg. Round","Avg. Cost","% Drafted","G (P)","A (P)","+/- (P)","PPP (P)","SOG (P)","BLK (P)","W (G)","GA (G)","SV (G)","SHO (G)","Image"
"453.p.3637","23","Ovechkin","Alex","WSH","Injured","IR - Lower Leg","LW,RW","53.9","5.0","$11.0","100%","15","10","15","7","63","3","","","","","https://s.yimg.com/iu/api/res/1.2/K5YAr5S3nCOp8Mk5HZJvug--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10052023/3637.png"
"453.p.6745","24","Strome","Dylan","WSH","Available","","C","162.5","13.9","$0.0","12%","9","26","16","12","42","16","","","","","https://s.yimg.com/iu/api/res/1.2/fekJFuPdc3ztP8WqdUUQYg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10052023/6745.png"
"453.p.6395","25","Kempe","Adrian","LA","Available","","C,RW","47.0","4.4","$15.0","100%","13","13","14","5","77","15","","","","","https://s.yimg.com/iu/api/res/1.2/ywTXEEY75VkEtMAvWMSkwA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10172024/6395.png"
"453.p.6374","26","Nylander","William","TOR","Available","","C,RW","15.6","1.8","$37.5","100%","17","11","-2","13","95","8","","","","","https://s.yimg.com/iu/api/res/1.2/7d1dxrzE1J1ZudqVIWuNnA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10172024/6374.png"
"453.p.7900","27","Svechnikov","Andrei","CAR","Available","","LW,RW","47.0","4.4","$18.0","100%","11","13","-4","13","90","7","","","","","https://s.yimg.com/iu/api/res/1.2/ze4OkGZgIEMpUbk7H.QZnA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10112024/7900.png"
"453.p.7114","28","Tkachuk","Matthew","FLA","Available","","LW,RW","11.0","1.2","$49.0","100%","10","20","-1","12","69","9","","","","","https://s.yimg.com/iu/api/res/1.2/9MfrIHjulMGlDIoAzgAPRw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10142024/7114.png"
"453.p.6728","29","Panarin","Artemi","NYR","Available","","LW","12.4","1.4","$38.5","100%","15","17","-1","11","82","6","","","","","https://s.yimg.com/iu/api/res/1.2/p_2f2N3vv7D8WtgsEuJBkw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10182024/6728.png"
"453.p.6766","30","Konecny","Travis","PHI","Available","","LW,RW","70.9","6.4","$14.5","100%","13","18","0","7","77","15","","","","","https://s.yimg.com/iu/api/res/1.2/JZswh2eNThXP5XyLtBE05A--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10182024/6766.png"
"453.p.6750","31","Werenski","Zach","CBJ","Available","","D","115.0","10.1","$3.5","100%","8","19","9","8","93","42","","","","","https://s.yimg.com/iu/api/res/1.2/J9ohxclRLLz.usrUZ83LOw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10102024/6750.png"
"453.p.7066","32","Marchment","Mason","DAL","Available","","LW","167.1","14.6","$1.0","12%","12","14","14","6","59","6","","","","","https://s.yimg.com/iu/api/res/1.2/wzEyVgj.sv5ukgJXcqeNeA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10112024/7066.png"
